Text,Personality
I feel bored when alone #995,Extrovert
I prefer spending time alone reading books #70,Introvert
I enjoy solo hobbies like painting #90,Introvert
I feel energized in crowds #408,Extrovert
I enjoy solo hobbies like painting #459,Introvert
I enjoy solo hobbies like painting #518,Introvert
I like working independently #200,Introvert
I enjoy parties and social events #579,Extrovert
I prefer spending time alone reading books #819,Introvert
I like being the center of attention #905,Extrovert
I feel energized in crowds #352,Extrovert
I feel energized in crowds #618,Extrovert
I love meeting new people #41,Extrovert
I prefer texting over calling #802,Introvert
I enjoy group activities #479,Extrovert
I like small group conversations #279,Introvert
I like being the center of attention #989,Extrovert
I feel drained after social gatherings #869,Introvert
I love meeting new people #47,Extrovert
I love meeting new people #525,Extrovert
I love meeting new people #17,Extrovert
I enjoy talking on calls for hours #189,Extrovert
I like working independently #537,Introvert
I like being the center of attention #700,Extrovert
I enjoy group activities #713,Extrovert
I actively participate in events #370,Extrovert
I enjoy quiet evenings at home #684,Introvert
I love hanging out with friends #987,Extrovert
I actively participate in events #245,Extrovert
I love hanging out with friends #221,Extrovert
I enjoy talking on calls for hours #287,Extrovert
I avoid large crowds #56,Introvert
I feel drained after social gatherings #547,Introvert
I prefer staying home on weekends #406,Introvert
I like working in teams #42,Extrovert
I like working independently #230,Introvert
I like working independently #299,Introvert
I prefer texting over calling #418,Introvert
I feel drained after social gatherings #227,Introvert
I actively participate in events #624,Extrovert
I like working in teams #953,Extrovert
I enjoy quiet evenings at home #171,Introvert
I feel comfortable being alone #27,Introvert
I like working in teams #652,Extrovert
I feel energized in crowds #414,Extrovert
I enjoy quiet evenings at home #261,Introvert
I enjoy group activities #0,Extrovert
I like working in teams #959,Extrovert
I prefer staying home on weekends #315,Introvert
I love meeting new people #834,Extrovert
I like working in teams #580,Extrovert
I avoid large crowds #241,Introvert
I love hanging out with friends #804,Extrovert
I feel energized in crowds #11,Extrovert
I enjoy group activities #3,Extrovert
I feel drained after social gatherings #591,Introvert
I prefer spending time alone reading books #999,Introvert
I enjoy talking on calls for hours #614,Extrovert
I enjoy group activities #102,Extrovert
I actively participate in events #486,Extrovert
I enjoy talking on calls for hours #261,Extrovert
I avoid large crowds #46,Introvert
I enjoy talking on calls for hours #603,Extrovert
I like working in teams #45,Extrovert
I enjoy solo hobbies like painting #909,Introvert
I actively participate in events #267,Extrovert
I enjoy solo hobbies like painting #758,Introvert
I enjoy group activities #493,Extrovert
I like working independently #505,Introvert
I feel energized in crowds #875,Extrovert
I avoid large crowds #185,Introvert
I prefer spending time alone reading books #775,Introvert
I love hanging out with friends #815,Extrovert
I enjoy solo hobbies like painting #706,Introvert
I prefer staying home on weekends #923,Introvert
I like working independently #995,Introvert
I feel comfortable being alone #668,Introvert
I feel comfortable being alone #807,Introvert
I prefer spending time alone reading books #272,Introvert
I feel comfortable being alone #884,Introvert
I love meeting new people #311,Extrovert
I enjoy talking on calls for hours #549,Extrovert
I feel bored when alone #328,Extrovert
I like working independently #622,Introvert
I like working independently #701,Introvert
I prefer staying home on weekends #342,Introvert
I prefer spending time alone reading books #698,Introvert
I love hanging out with friends #671,Extrovert
I feel drained after social gatherings #554,Introvert
I feel comfortable being alone #951,Introvert
I enjoy parties and social events #835,Extrovert
I prefer texting over calling #178,Introvert
I enjoy group activities #811,Extrovert
I prefer texting over calling #836,Introvert
I like being the center of attention #18,Extrovert
I enjoy parties and social events #69,Extrovert
I enjoy parties and social events #163,Extrovert
I feel bored when alone #430,Extrovert
I enjoy quiet evenings at home #546,Introvert
I love hanging out with friends #114,Extrovert
I like working in teams #856,Extrovert
I love meeting new people #717,Extrovert
I actively participate in events #458,Extrovert
I love hanging out with friends #663,Extrovert
I like working in teams #610,Extrovert
I actively participate in events #629,Extrovert
I enjoy group activities #427,Extrovert
I feel comfortable being alone #652,Introvert
I like working in teams #530,Extrovert
I love hanging out with friends #924,Extrovert
I enjoy quiet evenings at home #356,Introvert
I enjoy group activities #218,Extrovert
I prefer texting over calling #904,Introvert
I enjoy quiet evenings at home #980,Introvert
I enjoy quiet evenings at home #972,Introvert
I like working independently #81,Introvert
I prefer staying home on weekends #531,Introvert
I prefer staying home on weekends #613,Introvert
I love meeting new people #281,Extrovert
I feel bored when alone #956,Extrovert
I feel energized in crowds #724,Extrovert
I enjoy group activities #926,Extrovert
I like working in teams #322,Extrovert
I enjoy talking on calls for hours #725,Extrovert
I prefer texting over calling #875,Introvert
I prefer staying home on weekends #941,Introvert
I prefer spending time alone reading books #984,Introvert
I love hanging out with friends #399,Extrovert
I feel energized in crowds #376,Extrovert
I love hanging out with friends #531,Extrovert
I prefer texting over calling #917,Introvert
I prefer texting over calling #949,Introvert
I feel comfortable being alone #514,Introvert
I feel comfortable being alone #240,Introvert
I love hanging out with friends #867,Extrovert
I enjoy quiet evenings at home #128,Introvert
I like working independently #850,Introvert
I feel drained after social gatherings #765,Introvert
I enjoy group activities #716,Extrovert
I like working independently #478,Introvert
I like working in teams #313,Extrovert
I enjoy quiet evenings at home #605,Introvert
I feel energized in crowds #149,Extrovert
I enjoy quiet evenings at home #636,Introvert
I like working in teams #54,Extrovert
I prefer spending time alone reading books #7,Introvert
I enjoy quiet evenings at home #823,Introvert
I prefer staying home on weekends #435,Introvert
I like working in teams #658,Extrovert
I feel energized in crowds #526,Extrovert
I like being the center of attention #432,Extrovert
I prefer staying home on weekends #93,Introvert
I like working independently #760,Introvert
I feel energized in crowds #694,Extrovert
I love meeting new people #165,Extrovert
I like being the center of attention #6,Extrovert
I like working in teams #10,Extrovert
I like being the center of attention #419,Extrovert
I prefer spending time alone reading books #548,Introvert
I like small group conversations #888,Introvert
